,temp,humidity,pressure,description,dt,wind_speed,wind_deg,city,day,dist
0,25.44,69,1018,very heavy rain,1435390925,1.29,14.5002,Faenza,2015/6/27 9:42,37
1,26.38,73,1017,very heavy rain,1435394243,2.1,100,Faenza,2015/6/27 10:37,37
2,27.7,69,1017,very heavy rain,1435399019,3.1,120,Faenza,2015/6/27 11:56,37
3,29.04,61,1016,very heavy rain,1435402422,3.1,110,Faenza,2015/6/27 12:53,37
4,29.11,69,1016,very heavy rain,1435406058,3.6,110,Faenza,2015/6/27 13:54,37
5,29.33,65,1015,very heavy rain,1435409704,5.7,110,Faenza,2015/6/27 14:55,37
6,29.2,65,1014,very heavy rain,1435416898,5.1,110,Faenza,2015/6/27 16:54,37
7,28.88,65,1014,very heavy rain,1435420542,6.2,120,Faenza,2015/6/27 17:55,37
8,27.53,65,1014,very heavy rain,1435424296,6.7,120,Faenza,2015/6/27 18:58,37
9,26.12,73,1013,very heavy rain,1435427936,6.2,120,Faenza,2015/6/27 19:58,37
10,22.32,94,1015,very heavy rain,1435438357,2.6,90,Faenza,2015/6/27 22:52,37
11,21.38,83,1016,very heavy rain,1435442241,5.7,90,Faenza,2015/6/27 23:57,37
12,21.16,83,1016,very heavy rain,1435445863,2.1,210,Faenza,2015/6/28 0:57,37
13,20,94,1016,very heavy rain,1435453232,1.39,218.504,Faenza,2015/6/28 3:00,37
14,19.48,93,1016,very heavy rain,1435456487,2.1,330,Faenza,2015/6/28 3:54,37
15,19.16,93,1016,very heavy rain,1435460042,1.5,320,Faenza,2015/6/28 4:54,37
16,18.62,93,1016,very heavy rain,1435463880,0.5,300,Faenza,2015/6/28 5:58,37
17,19.34,88,1016,very heavy rain,1435467179,0.5,270,Faenza,2015/6/28 6:52,37
18,21.05,88,1016,very heavy rain,1435470851,2.1,260,Faenza,2015/6/28 7:54,37
19,22.98,88,1017,very heavy rain,1435470851,1.8,210,Faenza,2015/6/29 8:54,37
